,seq,id_code,rock_type,grain_size,rock_water_ratio,rpm,water_replacement,pressure_cooked,label_code,date,time,min,day,duration_min,TA_umol_kg,TA_after_replaced_umol_kg,sd_TA_percentage,TA_AWR_umol_kg,duration_day,ec_uS_cm,pH,temperature_c,pCO2_ppm,DSi_umol_l,Na_umol_l,NH4_umol_l,K_umol_l,Ca_umol_l,Mg_umol_l,F_umol_l,Cl_umol_l,NO2_umol_l,Br_umol_l,NO3_umol_l,PO43_umol_l,SO42_umol_l,ssa_m2_g,legend_day,cation_meq_l,anion_meq_l,CBE_percent
210,210,rpm_high,dunite,coarse,1 to 3,90,yes,no,NA,12.12.22,14:00,NA,NA,60,1799.107143,,18.5,,0.04,183.2,9.482,14.5,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
211,211,rpm_high,dunite,coarse,1 to 3,90,yes,no,DC01,12.12.22,16:00,NA,NA,180,4277.8125,,18.03,,0.13,361,9.296,14.5,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
212,212,rpm_high,dunite,coarse,1 to 3,90,yes,no,NA,12.12.22,17:00,NA,NA,240,4866.836124,,18.43,,0.17,388,9.258,14.4,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
213,213,rpm_high,dunite,coarse,1 to 3,90,yes,no,DC02,12.12.22,18:00,NA,NA,300,5959.859155,,15.35,,0.21,466,9.213,14.3,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
214,214,rpm_high,dunite,coarse,1 to 3,90,yes,no,DC03,13.12.22,13:00,NA,NA,1440,21571.97305,,11.73,21571.97305,1,1227,9.272,13.9,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 1,NA,NA,NA
215,215,rpm_high,dunite,coarse,1 to 3,90,yes,no,NA,13.12.22,14:00,NA,NA,1500,16099.41375,,12.56,,1.04,876,9.335,14,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 1,NA,NA,NA
216,216,rpm_high,dunite,coarse,1 to 3,90,yes,no,NA,13.12.22,15:00,NA,NA,1560,16692.79306,,10.63,,1.08,869,9.331,13.1,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 1,NA,NA,NA
217,217,rpm_high,dunite,coarse,1 to 3,90,yes,no,DC04,14.12.22,13:00,NA,NA,2880,33700.58824,,11.38,,2,1547,9.361,13.4,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 2,NA,NA,NA
218,218,rpm_high,dunite,coarse,1 to 3,90,yes,no,NA,14.12.22,14:00,NA,NA,2940,17287.2802,,14.63,,2.04,838,9.496,13.5,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 2,NA,NA,NA
219,219,rpm_high,dunite,coarse,1 to 3,90,yes,no,DC05,15.12.22,13:00,NA,NA,4320,34149.77459,,10.06,,3,1560,9.3,13.8,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 3,NA,NA,NA
220,220,rpm_high,dunite,coarse,1 to 3,90,yes,no,NA,15.12.22,14:00,NA,NA,4380,23898.85653,,12.61,,3.04,1092,9.379,13.5,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 3,NA,NA,NA
221,221,rpm_high,dunite,coarse,1 to 3,90,yes,no,DB06,16.12.22,14:00,NA,NA,5820,38472.07317,,11.94,,4,1690,9.312,13.4,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 4,NA,NA,NA
222,222,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3,24.01.22,11:55,0,0,0,0,,20.74,,0,1.1,6.609,18,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134,Day 0,0,0,NA
223,223,rpm_medium,dunite,coarse,1 to 3,50,yes,no,NA,24.01.22,NA,NA,NA,30,389.3,,22.25,,0.02,60.9,9.317,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 0,NA,NA,NA
224,224,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3 1,24.01.22,12:58,60,0.04,60,819.8,,24.85,,0.04,87.4,9.3,18.4,NA,94.9,176.2,0,84.1,19.7,315.6,0,46.1,0,0,8.9,0,5.5,1.134,Day 0,930.9,885.8,2.48252325645401
225,225,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3 2,24.01.22,14:02,120,0.08,120,1318.9,,18.8,,0.08,130.3,9.145,19,NA,160.7,215.1,0,112.8,22.6,529.7,0,47.4,0,0,9.7,0,7.5,1.134,Day 0,1432.5,1391,1.46980697715602
226,226,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3 3,24.01.22,15:14,180,0.13,180,1883.6,,20.41,,0.13,179.6,9.082,18.8,NA,223.5,248.6,0,143.4,23.2,779.1,0,48.1,0,0,10.2,0,9.5,1.134,Day 0,1996.6,1960.9,0.902084649399881
227,227,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3 4,24.01.22,16:18,240,0.17,240,2345.5,,25.01,,0.17,215.5,9.055,18.8,NA,271.4,270.6,0,162.8,25.4,985.3,0,48.7,0,0,10.5,0,9.7,1.134,Day 0,2454.8,2424.1,0.629240197585527
228,228,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3 5,25.01.22,09:30,1272,0.88,1440,8302.2,,15.64,8302.2,1,650.5,9.274,19,NA,552.7,446.2,0,394.9,36.2,3732.8,0,54.9,0,0,13.1,0,33.3,1.134,Day 1,8379.1,8436.8,-0.343127635154828
229,229,rpm_medium,dunite,coarse,1 to 3,50,yes,no,NA,NA,NA,NA,NA,1500,5079.3,,25.99,,1.04,447,9.267,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 1,NA,NA,NA
230,230,rpm_medium,dunite,coarse,1 to 3,50,yes,no,NA,NA,NA,NA,NA,1560,5454.8,,15.74,,1.08,473,9.246,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 1,NA,NA,NA
231,231,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3 8,26.01.22,09:30,2710,1.88,2880,12727.4,,10.98,,2,915.5,9.319,20.2,NA,594.9,444.4,0,494.3,44.9,5873.9,0,51.8,0,0,10.6,0,44.3,1.134,Day 2,12776.3,12878.4,-0.397977758461414
232,232,rpm_medium,dunite,coarse,1 to 3,50,yes,no,NA,NA,NA,NA,NA,2940,6032.6,,19.46,,2.04,573,9.375,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 2,NA,NA,NA
233,233,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3 10,27.01.22,09:22,4119,2.86,4320,13784.8,,11.78,,3,968,9.284,18.7,NA,603.5,345.2,0,444.9,40.9,6498.3,0,48.5,0,0,7.4,0,42,1.134,Day 3,13868.5,13924.7,-0.202207734265932
234,234,rpm_medium,dunite,coarse,1 to 3,50,yes,no,NA,NA,NA,NA,NA,4380,7751.8,,16.59,,3.04,603,9.312,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 3,NA,NA,NA
235,235,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3 12,28.01.22,09:26,5538,3.85,5760,14322.9,,10.02,,4,982,9.321,18.3,NA,597,253,0,369.4,39.4,6817.9,0,41.2,0,0,4.7,0,39,1.134,Day 4,14337,14446.8,-0.381464573822779
236,236,rpm_medium,dunite,coarse,1 to 3,50,yes,no,NA,NA,NA,NA,NA,5820,13473.7,,10.78,,4.04,961,9.302,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134,Day 4,NA,NA,NA
237,237,rpm_medium,dunite,coarse,1 to 3,50,yes,no,Dc 1-3 14,31.01.22,09:23,9847,6.84,10080,28836.5,,12,,7,1681.5,9.431,17,NA,552.3,284.5,0,473.4,0,12547.3,0,30.9,0,0,3.6,0,71,1.134,Day 7,25852.5,29013,-5.76045055636055
